CHAVE_PRESTADOR;GRUPO
550007799;INTERCÂMBIO
550007832;INTERCÂMBIO
550069718;INTERCÂMBIO
550069729;INTERCÂMBIO
550069861;INTERCÂMBIO
550069872;INTERCÂMBIO
550007854;INTERCÂMBIO
98417;CLINICA-TERAPIAS
550010648;INTERCÂMBIO
550010681;INTERCÂMBIO
550010714;INTERCÂMBIO
550010725;INTERCÂMBIO
550010758;INTERCÂMBIO
550010791;INTERCÂMBIO
550011495;INTERCÂMBIO
550011517;INTERCÂMBIO
550011583;INTERCÂMBIO
550011616;INTERCÂMBIO
550011649;INTERCÂMBIO
550011671;INTERCÂMBIO
550012001;INTERCÂMBIO
550012034;INTERCÂMBIO
550012067;INTERCÂMBIO
550012089;INTERCÂMBIO
550012122;INTERCÂMBIO
550012155;INTERCÂMBIO
550012166;INTERCÂMBIO
550012199;INTERCÂMBIO
550012221;INTERCÂMBIO
550012254;INTERCÂMBIO
550127160;INTERCÂMBIO
550127171;INTERCÂMBIO
550127182;INTERCÂMBIO
550127193;INTERCÂMBIO
550127204;INTERCÂMBIO
550127215;INTERCÂMBIO
550127226;INTERCÂMBIO
550008206;INTERCÂMBIO
550008349;INTERCÂMBIO
550008371;INTERCÂMBIO
550008404;INTERCÂMBIO
550008426;INTERCÂMBIO
550008459;INTERCÂMBIO
550008492;INTERCÂMBIO
550008525;INTERCÂMBIO
550008558;INTERCÂMBIO
550008591;INTERCÂMBIO
550008635;INTERCÂMBIO
550008668;INTERCÂMBIO
550008690;INTERCÂMBIO
550008723;INTERCÂMBIO
550008756;INTERCÂMBIO
550008789;INTERCÂMBIO
550008811;INTERCÂMBIO
550008844;INTERCÂMBIO
550008921;INTERCÂMBIO
550008987;INTERCÂMBIO
550008998;INTERCÂMBIO
550009064;INTERCÂMBIO
550009086;INTERCÂMBIO
550009097;INTERCÂMBIO
550009119;INTERCÂMBIO
98219;NÃO-COOPERADOS
550080674;INTERCÂMBIO
550080762;INTERCÂMBIO
550080773;INTERCÂMBIO
550080784;INTERCÂMBIO
550007865;INTERCÂMBIO
550007876;INTERCÂMBIO
550007887;INTERCÂMBIO
550007920;INTERCÂMBIO
550007953;INTERCÂMBIO
550007975;INTERCÂMBIO
550008008;INTERCÂMBIO
550008041;INTERCÂMBIO
550008074;INTERCÂMBIO
550008096;INTERCÂMBIO
550008129;INTERCÂMBIO
550008162;INTERCÂMBIO
550008184;INTERCÂMBIO
550008239;INTERCÂMBIO
550008261;INTERCÂMBIO
550008283;INTERCÂMBIO
550008316;INTERCÂMBIO
550008338;INTERCÂMBIO
550008877;INTERCÂMBIO
550008932;INTERCÂMBIO
550008965;INTERCÂMBIO
550009020;INTERCÂMBIO
550009053;INTERCÂMBIO
550009174;INTERCÂMBIO
550009207;INTERCÂMBIO
550063525;INTERCÂMBIO
550096107;INTERCÂMBIO
550096118;INTERCÂMBIO
550096129;INTERCÂMBIO
99022;NÃO-COOPERADOS
550009229;INTERCÂMBIO
550009240;INTERCÂMBIO
550009251;INTERCÂMBIO
550009284;INTERCÂMBIO
550009405;INTERCÂMBIO
550009438;INTERCÂMBIO
550009471;INTERCÂMBIO
550009493;INTERCÂMBIO
550009526;INTERCÂMBIO
550009559;INTERCÂMBIO
550009581;INTERCÂMBIO
550009614;INTERCÂMBIO
550009647;INTERCÂMBIO
550009680;INTERCÂMBIO
550009713;INTERCÂMBIO
550009735;INTERCÂMBIO
550009768;INTERCÂMBIO
550009801;INTERCÂMBIO
550009834;INTERCÂMBIO
550009856;INTERCÂMBIO
550009889;INTERCÂMBIO
550010307;INTERCÂMBIO
550010318;INTERCÂMBIO
550010351;INTERCÂMBIO
550010373;INTERCÂMBIO
550007051;INTERCÂMBIO
550007073;INTERCÂMBIO
550007106;INTERCÂMBIO
550007139;INTERCÂMBIO
98406;CLINICA-TERAPIAS
550010384;INTERCÂMBIO
550010406;INTERCÂMBIO
550010439;INTERCÂMBIO
550010450;INTERCÂMBIO
550010483;INTERCÂMBIO
550010824;INTERCÂMBIO
550010846;INTERCÂMBIO
550010879;INTERCÂMBIO
550010912;INTERCÂMBIO
550010945;INTERCÂMBIO
550010956;INTERCÂMBIO
550010978;INTERCÂMBIO
550011011;INTERCÂMBIO
550011033;INTERCÂMBIO
550011055;INTERCÂMBIO
550011088;INTERCÂMBIO
550011110;INTERCÂMBIO
550011143;INTERCÂMBIO
550011176;INTERCÂMBIO
550121374;INTERCÂMBIO
550122628;INTERCÂMBIO
550122639;INTERCÂMBIO
550122650;INTERCÂMBIO
550122661;INTERCÂMBIO
550122672;INTERCÂMBIO
550122683;INTERCÂMBIO
550009295;INTERCÂMBIO
550009306;INTERCÂMBIO
550009317;INTERCÂMBIO
550009361;INTERCÂMBIO
550009383;INTERCÂMBIO
550009955;INTERCÂMBIO
550009988;INTERCÂMBIO
550010021;INTERCÂMBIO
550010043;INTERCÂMBIO
550010076;INTERCÂMBIO
550010109;INTERCÂMBIO
550010142;INTERCÂMBIO
550010164;INTERCÂMBIO
550010197;INTERCÂMBIO
550010230;INTERCÂMBIO
550010252;INTERCÂMBIO
550010274;INTERCÂMBIO
550010296;INTERCÂMBIO
98428;CLINICA-TERAPIAS
550010527;INTERCÂMBIO
550010560;INTERCÂMBIO
550010593;INTERCÂMBIO
550010615;INTERCÂMBIO
550011209;INTERCÂMBIO
550067276;INTERCÂMBIO
550067287;INTERCÂMBIO
550067298;INTERCÂMBIO
550067331;INTERCÂMBIO
550067364;INTERCÂMBIO
550067375;INTERCÂMBIO
550067595;INTERCÂMBIO
550011242;INTERCÂMBIO
550011253;INTERCÂMBIO
550011264;INTERCÂMBIO
550011275;INTERCÂMBIO
550011308;INTERCÂMBIO
550011330;INTERCÂMBIO
29447;CREDENCIADO PJ
550011363;INTERCÂMBIO
550011396;INTERCÂMBIO
550011429;INTERCÂMBIO
550011451;INTERCÂMBIO
550011484;INTERCÂMBIO
550011561;INTERCÂMBIO
27533;HOSPITAIS
550011715;INTERCÂMBIO
550011748;INTERCÂMBIO
550011770;INTERCÂMBIO
550011803;INTERCÂMBIO
550011836;INTERCÂMBIO
550011869;INTERCÂMBIO
550011891;INTERCÂMBIO
550011924;INTERCÂMBIO
550011957;INTERCÂMBIO
550117447;INTERCÂMBIO
550117458;INTERCÂMBIO
550117469;INTERCÂMBIO
550117480;INTERCÂMBIO
550117491;INTERCÂMBIO
550117502;INTERCÂMBIO
550117513;INTERCÂMBIO
550013640;INTERCÂMBIO
550013717;INTERCÂMBIO
550013728;INTERCÂMBIO
550013750;INTERCÂMBIO
550013783;INTERCÂMBIO
550013794;INTERCÂMBIO
550013827;INTERCÂMBIO
550013860;INTERCÂMBIO
550013970;INTERCÂMBIO
550014003;INTERCÂMBIO
550014036;INTERCÂMBIO
550014069;INTERCÂMBIO
550014091;INTERCÂMBIO
550014124;INTERCÂMBIO
550014300;INTERCÂMBIO
550014344;INTERCÂMBIO
550014355;INTERCÂMBIO
550015268;INTERCÂMBIO
550015378;INTERCÂMBIO
550015400;INTERCÂMBIO
550015433;INTERCÂMBIO
550015466;INTERCÂMBIO
550015499;INTERCÂMBIO
550015686;INTERCÂMBIO
550015719;INTERCÂMBIO
550015741;INTERCÂMBIO
29293;COOPERADO
550013453;INTERCÂMBIO
550013464;INTERCÂMBIO
